intertidal_sitename,cbsSiteCode,SiteOrder,latitude,longitude,MPA_name,Type,survey_rep,year,final_classification,total_hits,total_points,percent_cover
Point Arena,77,5100,38.9433714,-123.73301,Point Arena SMR,Reserve,1,2010,gelidium coulteri,7,757,0.01
Point Arena,77,5100,38.9433714,-123.73301,Point Arena SMR,Reserve,1,2010,lottia scabra/conus,7,757,0.01
Point Arena,77,5100,38.9433714,-123.73301,Point Arena SMR,Reserve,1,2010,strongylocentrotus purpuratus,6,757,0.01
Point Arena,77,5100,38.9433714,-123.73301,Point Arena SMR,Reserve,1,2010,chondracanthus canaliculatus,5,757,0.01
Point Arena,77,5100,38.9433714,-123.73301,Point Arena SMR,Reserve,1,2010,halosaccion glandiforme,5,757,0.01
Point Arena,77,5100,38.9433714,-123.73301,Point Arena SMR,Reserve,1,2010,anthopleura elegantissima,4,757,0.01
Point Arena,77,5100,38.9433714,-123.73301,Point Arena SMR,Reserve,1,2010,calliarthron spp,4,757,0.01
Point Arena,77,5100,38.9433714,-123.73301,Point Arena SMR,Reserve,1,2010,cladophora columbiana,4,757,0.01
Point Arena,77,5100,38.9433714,-123.73301,Point Arena SMR,Reserve,1,2010,bossiella spp,3,757,0.00
Point Arena,77,5100,38.9433714,-123.73301,Point Arena SMR,Reserve,1,2010,microcladia borealis,3,757,0.00
Point Arena,77,5100,38.9433714,-123.73301,Point Arena SMR,Reserve,1,2010,tegula funebralis,3,757,0.00
Point Arena,77,5100,38.9433714,-123.73301,Point Arena SMR,Reserve,1,2010,chthamalus spp,2,757,0.00
Point Arena,77,5100,38.9433714,-123.73301,Point Arena SMR,Reserve,1,2010,acrosiphonia spp,1,757,0.00
Point Arena,77,5100,38.9433714,-123.73301,Point Arena SMR,Reserve,1,2010,analipus japonicus,1,757,0.00
Point Arena,77,5100,38.9433714,-123.73301,Point Arena SMR,Reserve,1,2010,anthopleura xanthogrammica,1,757,0.00
Point Arena,77,5100,38.9433714,-123.73301,Point Arena SMR,Reserve,1,2010,balanus glandula,1,757,0.00
Point Arena,77,5100,38.9433714,-123.73301,Point Arena SMR,Reserve,1,2010,callithamnion pikeanum,1,757,0.00
Point Arena,77,5100,38.9433714,-123.73301,Point Arena SMR,Reserve,1,2010,centroceras/ceramium/corallophila spp,1,757,0.00
Point Arena,77,5100,38.9433714,-123.73301,Point Arena SMR,Reserve,1,2010,cryptopleura/hymenena spp,1,757,0.00
Point Arena,77,5100,38.9433714,-123.73301,Point Arena SMR,Reserve,1,2010,cryptosiphonia woodii,1,757,0.00
Point Arena,77,5100,38.9433714,-123.73301,Point Arena SMR,Reserve,1,2010,hildenbrandia/peyssonnelia spp,1,757,0.00
Point Arena,77,5100,38.9433714,-123.73301,Point Arena SMR,Reserve,1,2010,katharina tunicata,1,757,0.00
Point Arena,77,5100,38.9433714,-123.73301,Point Arena SMR,Reserve,1,2010,lottia austrodigitalis/digitalis,1,757,0.00
Point Arena,77,5100,38.9433714,-123.73301,Point Arena SMR,Reserve,1,2010,mazzaella affinis,1,757,0.00
Point Arena,77,5100,38.9433714,-123.73301,Point Arena SMR,Reserve,1,2010,mytilus californianus,1,757,0.00
Point Arena,77,5100,38.9433714,-123.73301,Point Arena SMR,Reserve,1,2010,nereocystis luetkeana,1,757,0.00
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,mazzaella cordata/splendens,321,1732,0.19
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,mastocarpus papillatus,157,1732,0.09
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,petrocelis spp,155,1732,0.09
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,chondracanthus canaliculatus,99,1732,0.06
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,silvetia compressa,92,1732,0.05
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,corallina spp,90,1732,0.05
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,egregia menziesii,85,1732,0.05
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,rock,60,1732,0.03
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,endocladia muricata,57,1732,0.03
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,halosaccion glandiforme,54,1732,0.03
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,encrusting coralline,52,1732,0.03
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,gelidium coulteri,52,1732,0.03
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,odonthalia floccosa,48,1732,0.03
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,phyllospadix scouleri,45,1732,0.03
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,bluegreenalgae,44,1732,0.03
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,bossiella spp,41,1732,0.02
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,mazzaella oregona,35,1732,0.02
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,pelvetiopsis spp,31,1732,0.02
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,gastroclonium subarticulatum,29,1732,0.02
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,ulva spp,26,1732,0.02
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,calliarthron spp,22,1732,0.01
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,tegula funebralis,20,1732,0.01
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,cladophora columbiana,9,1732,0.01
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,fucus spp,8,1732,0.00
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,mastocarpus jardinii,8,1732,0.00
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,laminaria setchellii,7,1732,0.00
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,microcladia borealis,7,1732,0.00
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,hildenbrandia/peyssonnelia spp,6,1732,0.00
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,acrosiphonia spp,5,1732,0.00
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,prionitis lanceolata,5,1732,0.00
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,ralfsiaceae,5,1732,0.00
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,ulva taeniata,5,1732,0.00
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,anthopleura elegantissima,3,1732,0.00
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,callithamnion pikeanum,3,1732,0.00
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,centroceras/ceramium/corallophila spp,3,1732,0.00
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,cystoseira osmundacea,3,1732,0.00
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,laminaria sinclairii,3,1732,0.00
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,balanus glandula,2,1732,0.00
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,cancer antennarius,2,1732,0.00
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,costaria costata,2,1732,0.00
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,cryptopleura/hymenena spp,2,1732,0.00
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,diatoms,2,1732,0.00
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,dilsea californica,2,1732,0.00
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,littorina plena/scutulata,2,1732,0.00
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,lottia scabra/conus,2,1732,0.00
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,neorhodomela larix,2,1732,0.00
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,onchidella borealis,2,1732,0.00
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,spirorbis spp,2,1732,0.00
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,bryopsis spp,1,1732,0.00
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,cryptochiton stelleri,1,1732,0.00
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,cryptosiphonia woodii,1,1732,0.00
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,desmarestia ligulata,1,1732,0.00
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,eurystomella bilabiata,1,1732,0.00
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,gelidium pusillum,1,1732,0.00
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,idotea spp,1,1732,0.00
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,lottia pelta,1,1732,0.00
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,mazzaella affinis,1,1732,0.00
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,microcladia coulteri,1,1732,0.00
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,nereocystis luetkeana,1,1732,0.00
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,pagurus hirsutiusculus,1,1732,0.00
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,plocamium violaceum,1,1732,0.00
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,porphyra spp,1,1732,0.00
Stornetta,53,5110,38.9378689,-123.72902,Sea Lion Cove SMCA,Reserve,2,2007,sculpin,1,1732,0.00
Moat Creek,78,5120,38.8809149,-123.67475,,Reference,1,2010,petrocelis spp,124,902,0.14
Moat Creek,78,5120,38.8809149,-123.67475,,Reference,1,2010,mazzaella cordata/splendens,117,902,0.13
Moat Creek,78,5120,38.8809149,-123.67475,,Reference,1,2010,corallina spp,88,902,0.10
Moat Creek,78,5120,38.8809149,-123.67475,,Reference,1,2010,phyllospadix scouleri,79,902,0.09
Moat Creek,78,5120,38.8809149,-123.67475,,Reference,1,2010,egregia menziesii,70,902,0.08
Moat Creek,78,5120,38.8809149,-123.67475,,Reference,1,2010,rock,65,902,0.07
Moat Creek,78,5120,38.8809149,-123.67475,,Reference,1,2010,halosaccion glandiforme,40,902,0.04
Moat Creek,78,5120,38.8809149,-123.67475,,Reference,1,2010,fucus spp,36,902,0.04
Moat Creek,78,5120,38.8809149,-123.67475,,Reference,1,2010,endocladia muricata,34,902,0.04
Moat Creek,78,5120,38.8809149,-123.67475,,Reference,1,2010,mastocarpus papillatus,34,902,0.04
Moat Creek,78,5120,38.8809149,-123.67475,,Reference,1,2010,mazzaella oregona,25,902,0.03
Moat Creek,78,5120,38.8809149,-123.67475,,Reference,1,2010,encrusting coralline,23,902,0.03
Moat Creek,78,5120,38.8809149,-123.67475,,Reference,1,2010,odonthalia floccosa,17,902,0.02
Moat Creek,78,5120,38.8809149,-123.67475,,Reference,1,2010,bossiella spp,15,902,0.02
Moat Creek,78,5120,38.8809149,-123.67475,,Reference,1,2010,gelidium coulteri,15,902,0.02
Moat Creek,78,5120,38.8809149,-123.67475,,Reference,1,2010,ralfsiaceae,15,902,0.02
Moat Creek,78,5120,38.8809149,-123.67475,,Reference,1,2010,gastroclonium subarticulatum,14,902,0.02
Moat Creek,78,5120,38.8809149,-123.67475,,Reference,1,2010,tegula funebralis,11,902,0.01
Moat Creek,78,5120,38.8809149,-123.67475,,Reference,1,2010,chondracanthus canaliculatus,10,902,0.01
Moat Creek,78,5120,38.8809149,-123.67475,,Reference,1,2010,cryptopleura/hymenena spp,10,902,0.01
Moat Creek,78,5120,38.8809149,-123.67475,,Reference,1,2010,anthopleura elegantissima,9,902,0.01
Moat Creek,78,5120,38.8809149,-123.67475,,Reference,1,2010,callithamnion pikeanum,7,902,0.01
Moat Creek,78,5120,38.8809149,-123.67475,,Reference,1,2010,hildenbrandia/peyssonnelia spp,7,902,0.01
Moat Creek,78,5120,38.8809149,-123.67475,,Reference,1,2010,cladophora columbiana,5,902,0.01
Moat Creek,78,5120,38.8809149,-123.67475,,Reference,1,2010,porphyra spp,4,902,0.00
Moat Creek,78,5120,38.8809149,-123.67475,,Reference,1,2010,silvetia compressa,4,902,0.00
Moat Creek,78,5120,38.8809149,-123.67475,,Reference,1,2010,calliarthron spp,3,902,0.00
Moat Creek,78,5120,38.8809149,-123.67475,,Reference,1,2010,chondracanthus corymbiferus/exaspertata,3,902,0.00
Moat Creek,78,5120,38.8809149,-123.67475,,Reference,1,2010,laminaria setchellii,2,902,0.00
Moat Creek,78,5120,38.8809149,-123.67475,,Reference,1,2010,microcladia borealis,2,902,0.00
Moat Creek,78,5120,38.8809149,-123.67475,,Reference,1,2010,polyneura latissima,2,902,0.00
Moat Creek,78,5120,38.8809149,-123.67475,,Reference,1,2010,bluegreenalgae,1,902,0.00
Moat Creek,78,5120,38.8809149,-123.67475,,Reference,1,2010,cryptosiphonia woodii,1,902,0.00
Moat Creek,78,5120,38.8809149,-123.67475,,Reference,1,2010,dictyoneurum californicum,1,902,0.00
Moat Creek,78,5120,38.8809149,-123.67475,,Reference,1,2010,erythrophyllum delesserioides,1,902,0.00
Moat Creek,78,5120,38.8809149,-123.67475,,Reference,1,2010,lottia paradigitalis/strigatella,1,902,0.00
Moat Creek,78,5120,38.8809149,-123.67475,,Reference,1,2010,mastocarpus jardinii,1,902,0.00
Moat Creek,78,5120,38.8809149,-123.67475,,Reference,1,2010,onchidella borealis,1,902,0.00
Moat Creek,78,5120,38.8809149,-123.67475,,Reference,1,2010,osmundea spectabilis,1,902,0.00
Moat Creek,78,5120,38.8809149,-123.67475,,Reference,1,2010,pagurus hirsutiusculus,1,902,0.00
Moat Creek,78,5120,38.8809149,-123.67475,,Reference,1,2010,prionitis lyallii,1,902,0.00
Moat Creek,78,5120,38.8809149,-123.67475,,Reference,1,2010,pugettia producta,1,902,0.00
Moat Creek,78,5120,38.8809149,-123.67475,,Reference,1,2010,spirorbis spp,1,902,0.00
Saunders Reef,79,5130,38.8613795,-123.65361,Saunders Reef SMCA,Reserve,1,2010,rock,266,721,0.37
Saunders Reef,79,5130,38.8613795,-123.65361,Saunders Reef SMCA,Reserve,1,2010,endocladia muricata,108,721,0.15
Saunders Reef,79,5130,38.8613795,-123.65361,Saunders Reef SMCA,Reserve,1,2010,corallina spp,56,721,0.08
Saunders Reef,79,5130,38.8613795,-123.65361,Saunders Reef SMCA,Reserve,1,2010,fucus spp,47,721,0.07
Saunders Reef,79,5130,38.8613795,-123.65361,Saunders Reef SMCA,Reserve,1,2010,odonthalia floccosa,22,721,0.03
Saunders Reef,79,5130,38.8613795,-123.65361,Saunders Reef SMCA,Reserve,1,2010,petrocelis spp,22,721,0.03
Saunders Reef,79,5130,38.8613795,-123.65361,Saunders Reef SMCA,Reserve,1,2010,encrusting coralline,17,721,0.02
Saunders Reef,79,5130,38.8613795,-123.65361,Saunders Reef SMCA,Reserve,1,2010,mastocarpus papillatus,16,721,0.02
Saunders Reef,79,5130,38.8613795,-123.65361,Saunders Reef SMCA,Reserve,1,2010,sand,16,721,0.02
Saunders Reef,79,5130,38.8613795,-123.65361,Saunders Reef SMCA,Reserve,1,2010,phyllospadix scouleri,15,721,0.02
Saunders Reef,79,5130,38.8613795,-123.65361,Saunders Reef SMCA,Reserve,1,2010,tegula funebralis,15,721,0.02
Saunders Reef,79,5130,38.8613795,-123.65361,Saunders Reef SMCA,Reserve,1,2010,anthopleura elegantissima,14,721,0.02
Saunders Reef,79,5130,38.8613795,-123.65361,Saunders Reef SMCA,Reserve,1,2010,strongylocentrotus purpuratus,12,721,0.02
Saunders Reef,79,5130,38.8613795,-123.65361,Saunders Reef SMCA,Reserve,1,2010,ralfsiaceae,11,721,0.02
Saunders Reef,79,5130,38.8613795,-123.65361,Saunders Reef SMCA,Reserve,1,2010,bossiella spp,10,721,0.01
Saunders Reef,79,5130,38.8613795,-123.65361,Saunders Reef SMCA,Reserve,1,2010,halosaccion glandiforme,8,721,0.01
Saunders Reef,79,5130,38.8613795,-123.65361,Saunders Reef SMCA,Reserve,1,2010,neorhodomela larix,8,721,0.01
Saunders Reef,79,5130,38.8613795,-123.65361,Saunders Reef SMCA,Reserve,1,2010,mazzaella cordata/splendens,6,721,0.01
Saunders Reef,79,5130,38.8613795,-123.65361,Saunders Reef SMCA,Reserve,1,2010,mazzaella oregona,6,721,0.01
Saunders Reef,79,5130,38.8613795,-123.65361,Saunders Reef SMCA,Reserve,1,2010,phyllospadix torreyi,6,721,0.01
Saunders Reef,79,5130,38.8613795,-123.65361,Saunders Reef SMCA,Reserve,1,2010,cladophora columbiana,4,721,0.01
Saunders Reef,79,5130,38.8613795,-123.65361,Saunders Reef SMCA,Reserve,1,2010,microcladia borealis,4,721,0.01
Saunders Reef,79,5130,38.8613795,-123.65361,Saunders Reef SMCA,Reserve,1,2010,chthamalus spp,3,721,0.00
Saunders Reef,79,5130,38.8613795,-123.65361,Saunders Reef SMCA,Reserve,1,2010,postelsia palmaeformis,3,721,0.00
Saunders Reef,79,5130,38.8613795,-123.65361,Saunders Reef SMCA,Reserve,1,2010,anthopleura xanthogrammica,2,721,0.00
Saunders Reef,79,5130,38.8613795,-123.65361,Saunders Reef SMCA,Reserve,1,2010,bluegreenalgae,2,721,0.00
Saunders Reef,79,5130,38.8613795,-123.65361,Saunders Reef SMCA,Reserve,1,2010,calliarthron spp,2,721,0.00
Saunders Reef,79,5130,38.8613795,-123.65361,Saunders Reef SMCA,Reserve,1,2010,nucella emarginata/ostrina,2,721,0.00
Saunders Reef,79,5130,38.8613795,-123.65361,Saunders Reef SMCA,Reserve,1,2010,osmundea spectabilis,2,721,0.00
Saunders Reef,79,5130,38.8613795,-123.65361,Saunders Reef SMCA,Reserve,1,2010,pterosiphonia bipinnata,2,721,0.00
Saunders Reef,79,5130,38.8613795,-123.65361,Saunders Reef SMCA,Reserve,1,2010,acrosiphonia spp,1,721,0.00
Saunders Reef,79,5130,38.8613795,-123.65361,Saunders Reef SMCA,Reserve,1,2010,analipus japonicus,1,721,0.00
Saunders Reef,79,5130,38.8613795,-123.65361,Saunders Reef SMCA,Reserve,1,2010,anthopleura sola,1,721,0.00
Saunders Reef,79,5130,38.8613795,-123.65361,Saunders Reef SMCA,Reserve,1,2010,centroceras/ceramium/corallophila spp,1,721,0.00
Saunders Reef,79,5130,38.8613795,-123.65361,Saunders Reef SMCA,Reserve,1,2010,cryptopleura/hymenena spp,1,721,0.00
Saunders Reef,79,5130,38.8613795,-123.65361,Saunders Reef SMCA,Reserve,1,2010,desmarestia ligulata,1,721,0.00
Saunders Reef,79,5130,38.8613795,-123.65361,Saunders Reef SMCA,Reserve,1,2010,gelidium coulteri,1,721,0.00
Saunders Reef,79,5130,38.8613795,-123.65361,Saunders Reef SMCA,Reserve,1,2010,halymenia/schizymenia spp,1,721,0.00
Saunders Reef,79,5130,38.8613795,-123.65361,Saunders Reef SMCA,Reserve,1,2010,lottia paradigitalis/strigatella,1,721,0.00
Saunders Reef,79,5130,38.8613795,-123.65361,Saunders Reef SMCA,Reserve,1,2010,lottia scabra/conus,1,721,0.00
Saunders Reef,79,5130,38.8613795,-123.65361,Saunders Reef SMCA,Reserve,1,2010,mytilus californianus,1,721,0.00
Saunders Reef,79,5130,38.8613795,-123.65361,Saunders Reef SMCA,Reserve,1,2010,plocamium pacificum,1,721,0.00
Saunders Reef,79,5130,38.8613795,-123.65361,Saunders Reef SMCA,Reserve,1,2010,pterosiphonia dendroidea/pennata,1,721,0.00
Saunders Reef,79,5130,38.8613795,-123.65361,Saunders Reef SMCA,Reserve,1,2010,ulva spp,1,721,0.00
Del Mar Landing,80,5140,38.7405128,-123.51086,Del Mar SMR,Reserve,1,2010,rock,148,731,0.20
Del Mar Landing,80,5140,38.7405128,-123.51086,Del Mar SMR,Reserve,1,2010,chthamalus spp,86,731,0.12
Del Mar Landing,80,5140,38.7405128,-123.51086,Del Mar SMR,Reserve,1,2010,mytilus californianus,75,731,0.10
Del Mar Landing,80,5140,38.7405128,-123.51086,Del Mar SMR,Reserve,1,2010,endocladia muricata,46,731,0.06
Del Mar Landing,80,5140,38.7405128,-123.51086,Del Mar SMR,Reserve,1,2010,odonthalia floccosa,46,731,0.06
Del Mar Landing,80,5140,38.7405128,-123.51086,Del Mar SMR,Reserve,1,2010,corallina spp,32,731,0.04
Del Mar Landing,80,5140,38.7405128,-123.51086,Del Mar SMR,Reserve,1,2010,mastocarpus papillatus,29,731,0.04
Del Mar Landing,80,5140,38.7405128,-123.51086,Del Mar SMR,Reserve,1,2010,encrusting coralline,26,731,0.04
Del Mar Landing,80,5140,38.7405128,-123.51086,Del Mar SMR,Reserve,1,2010,petrocelis spp,20,731,0.03
Del Mar Landing,80,5140,38.7405128,-123.51086,Del Mar SMR,Reserve,1,2010,bluegreenalgae,19,731,0.03
Del Mar Landing,80,5140,38.7405128,-123.51086,Del Mar SMR,Reserve,1,2010,mazzaella cordata/splendens,18,731,0.02
Del Mar Landing,80,5140,38.7405128,-123.51086,Del Mar SMR,Reserve,1,2010,pelvetiopsis spp,17,731,0.02
Del Mar Landing,80,5140,38.7405128,-123.51086,Del Mar SMR,Reserve,1,2010,balanus glandula,16,731,0.02
Del Mar Landing,80,5140,38.7405128,-123.51086,Del Mar SMR,Reserve,1,2010,postelsia palmaeformis,14,731,0.02
Del Mar Landing,80,5140,38.7405128,-123.51086,Del Mar SMR,Reserve,1,2010,fucus spp,13,731,0.02
Del Mar Landing,80,5140,38.7405128,-123.51086,Del Mar SMR,Reserve,1,2010,strongylocentrotus purpuratus,11,731,0.02
Del Mar Landing,80,5140,38.7405128,-123.51086,Del Mar SMR,Reserve,1,2010,ralfsiaceae,10,731,0.01
Del Mar Landing,80,5140,38.7405128,-123.51086,Del Mar SMR,Reserve,1,2010,cryptopleura/hymenena spp,8,731,0.01
Del Mar Landing,80,5140,38.7405128,-123.51086,Del Mar SMR,Reserve,1,2010,diatoms,8,731,0.01
Del Mar Landing,80,5140,38.7405128,-123.51086,Del Mar SMR,Reserve,1,2010,mazzaella parksii,7,731,0.01
Del Mar Landing,80,5140,38.7405128,-123.51086,Del Mar SMR,Reserve,1,2010,ulva spp,7,731,0.01
Del Mar Landing,80,5140,38.7405128,-123.51086,Del Mar SMR,Reserve,1,2010,hedophyllum sessile,6,731,0.01
Del Mar Landing,80,5140,38.7405128,-123.51086,Del Mar SMR,Reserve,1,2010,anthopleura xanthogrammica,5,731,0.01
Del Mar Landing,80,5140,38.7405128,-123.51086,Del Mar SMR,Reserve,1,2010,dodecaceria spp,5,731,0.01
Del Mar Landing,80,5140,38.7405128,-123.51086,Del Mar SMR,Reserve,1,2010,lottia scabra/conus,4,731,0.01
Del Mar Landing,80,5140,38.7405128,-123.51086,Del Mar SMR,Reserve,1,2010,microcladia borealis,4,731,0.01
Del Mar Landing,80,5140,38.7405128,-123.51086,Del Mar SMR,Reserve,1,2010,semibalanus cariosus,4,731,0.01
Del Mar Landing,80,5140,38.7405128,-123.51086,Del Mar SMR,Reserve,1,2010,calliarthron spp,3,731,0.00
Del Mar Landing,80,5140,38.7405128,-123.51086,Del Mar SMR,Reserve,1,2010,phyllospadix scouleri,3,731,0.00
Del Mar Landing,80,5140,38.7405128,-123.51086,Del Mar SMR,Reserve,1,2010,plocamium violaceum,3,731,0.00
Del Mar Landing,80,5140,38.7405128,-123.51086,Del Mar SMR,Reserve,1,2010,pollicipes polymerus,3,731,0.00
Del Mar Landing,80,5140,38.7405128,-123.51086,Del Mar SMR,Reserve,1,2010,porphyra spp,3,731,0.00
